run_idx,prompt_label,prompt_tokens,n_ctx,mode,n_threads,max_tokens,ttft_s,decode_s,decode_tok_s,total_s,rss_before_mb,rss_after_mb,rss_peak_mb,mem_delta_mb,output_tokens,output_head
1,pt_1024,1024,4096,warm,8,128,0.10885071754455566,4.183392524719238,30.59717663204232,4.292243242263794,1406.705664,1406.885888,1406.885888,0.18022399999995287,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2,pt_1024,1024,4096,warm,8,128,0.10574936866760254,4.173620700836182,30.668814723473865,4.279370069503784,1406.922752,1406.947328,1406.947328,0.024576000000024578,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
3,pt_1024,1024,4096,warm,8,128,0.10477495193481445,4.165665864944458,30.727380483673684,4.2704408168792725,1406.951424,1407.614976,1407.614976,0.6635519999999815,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
4,pt_1024,1024,4096,warm,8,128,0.10524177551269531,4.1861572265625,30.57696906074126,4.291399002075195,1407.614976,1407.67232,1407.67232,0.057343999999829975,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
5,pt_1024,1024,4096,warm,8,128,0.10674118995666504,4.187577247619629,30.566600311136913,4.294318437576294,1407.67232,1407.680512,1407.680512,0.008192000000008193,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2026-01-06T14:30:05,0,ok,,pt_1024,1024,4096,warm,8,128,128,0.03930544853210449,3.890892505645752,27.50011722111088,3.9301979541778564,1408.55296,1408.851968,1408.851968,0.299007999999958
2026-01-06T14:30:05,1,ok,,pt_1024,1024,4096,warm,8,128,128,0.04372906684875488,4.462802410125732,28.681529728848965,4.506531476974487,1408.851968,1409.06496,1409.06496,0.21299199999998564
2026-01-06T14:30:05,2,ok,,pt_1024,1024,4096,warm,8,128,128,0.03817892074584961,2.012115955352783,31.310322763657148,2.050294876098633,1409.06496,1409.26976,1409.26976,0.20479999999997744
2026-01-06T14:30:05,3,ok,,pt_1024,1024,4096,warm,8,128,128,0.038010597229003906,4.245283126831055,30.85777699302393,4.283293724060059,1409.26976,1409.409024,1409.409024,0.13926400000013928
2026-01-06T14:30:05,4,ok,,pt_1024,1024,4096,warm,8,128,128,0.0375063419342041,4.254883766174316,30.31810199506048,4.2923901081085205,1409.409024,1409.511424,1409.511424,0.10239999999998872
