run_idx,prompt_label,prompt_tokens,n_ctx,mode,n_threads,max_tokens,ttft_s,decode_s,decode_tok_s,total_s,rss_before_mb,rss_after_mb,rss_peak_mb,mem_delta_mb,output_tokens,output_head
1,pt_1024,1024,8192,warm,8,128,0.10605454444885254,4.640373706817627,27.583985275139085,4.7464282512664795,1500.42624,1500.454912,1500.454912,0.028671999999914988,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2,pt_1024,1024,8192,warm,8,128,0.12362003326416016,4.557170629501343,28.08760312185328,4.680790662765503,1500.491776,1500.63104,1500.63104,0.1392639999999119,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
3,pt_1024,1024,8192,warm,8,128,0.10833454132080078,4.29282546043396,29.81719177258619,4.401160001754761,1500.635136,1501.278208,1501.278208,0.6430719999998473,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
4,pt_1024,1024,8192,warm,8,128,0.10812878608703613,4.293542385101318,29.812212974573786,4.4016711711883545,1501.278208,1501.483008,1501.483008,0.20479999999997744,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
5,pt_1024,1024,8192,warm,8,128,0.10746335983276367,4.331782102584839,29.54903939503801,4.4392454624176025,1501.483008,1501.51168,1501.51168,0.02867200000014236,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2026-01-06T14:30:44,0,ok,,pt_1024,1024,8192,warm,8,128,128,0.038947343826293945,3.519484043121338,30.4021835840189,3.558431386947632,1501.732864,1501.913088,1501.913088,0.18022399999995287
2026-01-06T14:30:44,1,ok,,pt_1024,1024,8192,warm,8,128,128,0.03764224052429199,4.7324137687683105,27.04750815424031,4.7700560092926025,1501.913088,1502.072832,1502.072832,0.15974400000004607
2026-01-06T14:30:44,2,ok,,pt_1024,1024,8192,warm,8,128,128,0.04263043403625488,2.4560186862945557,25.65127063224806,2.4986491203308105,1502.072832,1502.564352,1502.564352,0.4915200000000368
2026-01-06T14:30:44,3,ok,,pt_1024,1024,8192,warm,8,128,128,0.03929591178894043,6.3364622592926025,20.67399672552058,6.375758171081543,1502.564352,1502.703616,1502.703616,0.1392639999999119
2026-01-06T14:30:44,4,ok,,pt_1024,1024,8192,warm,8,128,128,0.061187028884887695,4.623271226882935,27.902321466649788,4.684458255767822,1502.703616,1502.8224,1502.806016,0.11878400000000511
